UMLS_pt,UMLS_pt_UI,pt
Malignant neoplasm of urinary bladder,C0005684,Disability
"Alzheimer Disease, Late Onset",C0494463,Bladder cancer
Respiratory arrest,C0162297,Dementia Alzheimer's type
Discoloration of skin,C0151907,Respiratory arrest
Gamma-Glutamyltransferase Increased,C0151662,Skin discolouration
Placement of stent in coronary artery,C0521232,Gamma-glutamyltransferase increased
Coronary Occlusion,C0151814,Coronary arterial stent insertion
Mass of axilla,C0238729,Coronary artery occlusion
Bunion,C0006386,Axillary mass
Infectious Lung Disorder,C0876973,Bunion
Lymphoma,C0024299,Lung infection
Mantle cell lymphoma,C4721414,Lymphoma
Malignant neoplasm of stomach,C0024623,Mantle cell lymphoma
Genital hemorrhage,C0854381,Gastric cancer
Metrorrhagia,C0025874,Genital haemorrhage
Vaginal Hemorrhage,C2979982,Metrorrhagia
Colorectal Carcinoma,C0009402,Vaginal haemorrhage
Complete atrioventricular block,C0151517,Colorectal cancer
Colitis,C0009319,Atrioventricular block complete
Hemorrhagic gastritis,C2010560,Colitis
"Tachycardia, Ventricular",C0042514,Gastritis haemorrhagic
Cortical cataract,C0271160,Ventricular tachycardia
Dyspareunia,C1384606,Cataract cortical
Eye irritation,C0235266,Dyspareunia
Heat Cramps,C0085592,Eye irritation
Laboratory test result abnormal,C0438215,Heat cramps
Marital conflict,C0555026,Laboratory test abnormal
Muscle strain,C0080194,Marital problem
Neurodermatitis,C0027822,Muscle strain
Refusal of Treatment,C0040809,Neurodermatitis
Patient Non-Compliance,C0376405,Refusal of treatment by patient
Uterine hemorrhage,C0042134,Treatment noncompliance
Acute respiratory failure,C0264490,Uterine haemorrhage
Septic Shock,C0036983,Acute respiratory failure
Deformity,C0302142,Septic shock
Acute superior sagittal sinus thrombosis,C1735641,Deformity
Lateral Sinus Thrombosis,C0270639,Superior sagittal sinus thrombosis
Psoriasiform eczema,C0262985,Transverse sinus thrombosis
Epstein-Barr virus test positive,C1611703,Dermatitis psoriasiform
Malignant tumor of colon,C0007102,Epstein-Barr virus test positive
Malignant neoplasm of ureter,C0153619,Colon cancer
Urticaria,C0042109,Ureteric cancer
Gastric Carcinoid Tumor,C0349529,Urticaria
Enterochromaffin cell hyperplasia,C0919613,Carcinoid tumour of the stomach
Hypergastrinemia (finding),C0232567,Enterochromaffin cell hyperplasia
Alcohol withdrawal syndrome,C0236663,Hypergastrinaemia
"Alcoholic Intoxication, Chronic",C0001973,Alcohol withdrawal syndrome
Vascular Diseases,C0042373,Alcoholism
Appetite Disorders,C0003621,Angiopathy
Biopsy of bone,C0005933,Appetite disorder
Osteopenia,C0029453,Biopsy bone
Drug level increased,C0151599,Bone loss
Fistula discharge,C1868822,Drug level increased
Jaw Diseases,C0022362,Fistula discharge
Joint injury,C0409497,Jaw disorder
Ketoacidosis,C0220982,Joint injury
Kyphosis deformity of spine,C0022821,Ketoacidosis
Deformity of limb,C0239337,Kyphosis
Lipid above reference range,C0851043,Limb deformity
Major Depressive Disorder,C1269683,Lipids increased
Myelomalacia,C0270774,Major depression
Neck Injuries,C0027531,Myelomalacia
Pathological fracture,C0016663,Neck injury
Fracture of pelvis,C0149531,Pathological fracture
"Hematoma, Subdural",C0018946,Pelvic fracture
Thermal burn,C0701836,Subdural haematoma
Ventricular hypertrophy,C0340279,Thermal burn
Hemarthrosis,C0018924,Ventricular hypertrophy
Blood cholesterol abnormal,C0853595,Haemarthrosis
Blood triglycerides abnormal,C0853629,Blood cholesterol abnormal
Premature Cardiac Complex,C0340464,Blood triglycerides abnormal
Hyperglycemia,C0020456,Extrasystoles
Thoracic vertebral fracture,C0919947,Hyperglycaemia
Monoparesis,C0270795,Thoracic vertebral fracture
Cerebral haematoma,C0542007,Monoparesis
Cerebrospinal fluid leak,C0023182,Cerebral haematoma
Meningitis,C0025289,Cerebrospinal fluid leakage
Disorder of tympanic membrane,C0041825,Meningitis
Neonatal multi-organ failure,C0919672,Tympanic membrane disorder
Middle insomnia,C0393761,Multi-organ failure
Vascular purpura,C1368065,Middle insomnia
Gastrointestinal Diseases,C0017178,Vascular purpura
Chronic cholecystitis,C0085694,Gastrointestinal disorder
Iliotibial Band Syndrome,C1262206,Cholecystitis chronic
Orthostatic intolerance,C1535893,Iliotibial band syndrome
Visual acuity reduced transiently,C0852720,Orthostatic intolerance
Swelling of structure of eye,C0270996,Visual acuity reduced transiently
Rupture iliac artery,C0585190,Eye swelling
Night Terrors,C0037320,Iliac artery rupture
Eosinophilic Pneumonia,C1527407,Sleep terror
Metabolic acidosis,C0220981,Eosinophilic pneumonia
Eructation,C0014724,Metabolic acidosis
Parkinsonian Disorders,C0242422,Eructation
Mole excision,C0850170,Parkinsonism
Malignant Neoplasms,C0006826,Mole excision
Skin Neoplasms,C0037286,Neoplasm malignant
Skin Papilloma,C0347390,Neoplasm skin
Vitamin D below reference range,C0919766,Skin papilloma
Central nervous system lesion,C0742468,Vitamin D decreased
Depressed Level of Consciousness,C0549249,Central nervous system lesion
Disorientation,C0233407,Depressed level of consciousness
Hepatitis B,C0019163,Disorientation
"Respiratory Distress Syndrome, Adult",C0035222,Hepatitis B
Metabolic alkalosis,C0220983,Acute respiratory distress syndrome
Acute Cholecystitis,C0149520,Metabolic alkalosis
Liver function tests abnormal,C0151766,Cholecystitis acute
Pancytopenia,C0030312,Liver function test abnormal
Necrosis of gastrointestinal tract,C0852925,Pancytopenia
Vascular insufficiency of intestine,C2004435,Gastrointestinal necrosis
Excessive bronchial secretion,C0235567,Intestinal ischaemia
"Hearing Loss, Sudden",C0011057,Sputum increased
Blood glucose decreased,C0595883,Sudden hearing loss
Immunosuppression,C4048329,Blood glucose decreased
Liver diseases,C0023895,Immunosuppression
Halitosis,C0018520,Liver disorder
Ischemia,C0022116,Breath odour
Blood creatine phosphokinase MB increased,C0853958,Ischaemia
Rapid correction of hyponatraemia,C2938939,Blood creatine phosphokinase MB increased
Tumor pain,C0854069,Rapid correction of hyponatraemia
Disturbance of attention,C0233414,Tumour pain
Coagulation test abnormal,C1504379,Disturbance in attention
Blood Coagulation Disorders,C0005779,Coagulation test abnormal
Contrast media allergy,C0570562,Coagulopathy
Costal chondritis,C5779793,Contrast media allergy
Virus Diseases,C0042769,Costochondritis
Infection of peripheral nerve,C5551467,Viral infection
Prostatic Infection,C0240811,Peripheral nerve infection
Biopsy lymph gland abnormal,C0852766,Prostate infection
Biopsy skin abnormal,C0853474,Biopsy lymph gland abnormal
"Malignant melanoma, metastatic",C0860594,Biopsy skin abnormal
Strabismus,C0038379,Metastatic malignant melanoma
Cesarean section,C0007876,Strabismus
Radiation exposure during pregnancy,C1142076,Caesarean section
HELLP Syndrome,C0162739,Exposure during pregnancy
Oligohydramnios,C0079924,HELLP syndrome
Premature Birth,C0151526,Oligohydramnios
Alanine Aminotransferase Increased,C0151905,Premature delivery
Aspartate Aminotransferase Increased,C0151904,Alanine aminotransferase increased
Bilirubin conjugated increased,C0855625,Aspartate aminotransferase increased
Blood alkaline phosphatase increased,C0852911,Bilirubin conjugated increased
Protein C increased,C1168113,Blood alkaline phosphatase increased
Post-herpetic trigeminal neuralgia,C0153024,Protein C increased
Stevens-Johnson Syndrome,C0038325,Post herpetic neuralgia
Product counterfeit,C2609232,Stevens-Johnson syndrome
Wound hematoma,C0281860,Product counterfeit
Respiratory Aspiration,C1720922,Wound haematoma
Magnesium Deficiency,C0024473,Aspiration
Nephrotic Syndrome,C0027726,Magnesium deficiency
Multiple Organ Failure,C0026766,Nephrotic syndrome
Hyperammonemia (disorder),C0220994,Organ failure
Refusal of treatment by relative,C1112180,Hyperammonaemia
"Skin Diseases, Infectious",C0037278,Refusal of treatment by relative
Jaw pain,C0236000,Skin infection
Hemiplegia,C0018991,Pain in jaw
Ileus,C1258215,Hemiplegia
Liver damage,C0151763,Ileus
Miosis disorder,C0026205,Hepatocellular injury
Oliguria,C0028961,Miosis
Ascites,C0003962,Oliguria
Cold sweat,C0232431,Ascites
Abscess,C0000833,Cold sweat
Hypovolemic Shock,C0020683,Abscess
Abnormal urine odor,C0278045,Hypovolaemic shock
Vaginal odor,C0235678,Urine odour abnormal
Ureteral Calculi,C1456865,Vaginal odour
Putaminal Hemorrhage,C0751741,Calculus ureteric
Cognition Disorders,C0009241,Putamen haemorrhage
Subcutaneous Abscess,C0241266,Cognitive disorder
Bleeding gastric ulcer,C0341164,Subcutaneous abscess
Migraine Aura without Headache,C0338486,Gastric ulcer haemorrhage
"Lung Diseases, Interstitial",C0206062,Typical aura without headache
Erysipelas,C0014733,Interstitial lung disease
Ulcer,C0041582,Erysipelas
Coronary Arteriosclerosis,C0010054,Ulcer
Arterial Dissection,C0002949,Arteriosclerosis coronary artery
Cerebral small vessel ischaemic disease,C3160750,Artery dissection
Coronary Artery Bypass Surgery,C0010055,Cerebral small vessel ischaemic disease
Dyspnea on exertion,C0231807,Coronary artery bypass
Skin Transplantation,C0037297,Dyspnoea exertional
Excision of lesion of tendon sheath,C0185264,Skin graft
Gestational Diabetes,C0085207,Tendon sheath lesion excision
Pregnancy associated hypertension,C0852036,Gestational diabetes
Elevated hemoglobin A1c,C4073162,Gestational hypertension
Maternal exposure during pregnancy,C3203555,Glycosylated haemoglobin increased
Gastrointestinal carcinoma,C0151544,Maternal exposure during pregnancy
Intraocular pressure test abnormal,C1262025,Gastrointestinal carcinoma
Thrombotic Microangiopathies,C2717961,Intraocular pressure test abnormal
"Heart Failure, Right-Sided",C0235527,Thrombotic microangiopathy
"Bronchitis, Chronic",C0008677,Right ventricular failure
Torsades de Pointes,C0040479,Bronchitis chronic
Pregnancy,C0032961,Torsade de pointes
Abnormal heart beat,C1744601,Pregnancy
Product taste abnormal,C2609199,Heart rate abnormal
Discomfort,C2364135,Product taste abnormal
Food Allergy,C0016470,Discomfort
Hyperventilation,C0020578,Food allergy
"Pain, Procedural",C1619712,Hyperventilation
Bifascicular block,C0264914,Procedural pain
Cyst of skin,C0241060,Bifascicular block
"Liver Failure, Acute",C0162557,Dermal cyst
Carbohydrate antigen 19-9 increased,C0948056,Acute hepatic failure
Renal Dialysis,C4551529,Carbohydrate antigen 19-9 increased
Hemorrhagic diarrhea,C0151594,Dialysis
Duodenal Ulcer,C0013295,Diarrhoea haemorrhagic
Lymph Node Tuberculosis,C0041316,Duodenal ulcer
Nightmares,C0028084,Lymph node tuberculosis
Polydipsia,C0085602,Nightmare
Sarcoidosis,C0036202,Polydipsia
Blood count abnormal,C1535970,Sarcoidosis
Blood folate decreased,C0855978,Blood count abnormal
Splenic Infarction,C0037998,Blood folate decreased
"Pancreatitis, Chronic",C0149521,Splenic infarction
Atrioventricular Block,C0004245,Pancreatitis chronic
Perforation of small intestine,C0151739,Atrioventricular block
Mass in breast,C0024103,Small intestinal perforation
Mood swings,C0085633,Breast mass
Femoral Neck Fractures,C0015806,Mood altered
Eating Disorders,C0013473,Femoral neck fracture
Nail Loss,C0263540,Eating disorder
Sluggishness,C0920289,Onychomadesis
Umbilical hemorrhage,C0232503,Sluggishness
Electrocardiogram ST-T segment depression,C0877452,Umbilical haemorrhage
Paresis,C0030552,Electrocardiogram ST segment depression
Visual field defects,C3887875,Paresis
Activation syndrome,C1868709,Visual field defect
Bladder spasm,C0426390,Activation syndrome
Intervertebral disc compression,C1096358,Bladder spasm
Pancreatic carcinoma,C0235974,Intervertebral disc compression
Staghorn Calculi,C0333014,Pancreatic carcinoma
Upper gastrointestinal hemorrhage,C0041909,Stag horn calculus
Venous Thrombosis,C0042487,Upper gastrointestinal haemorrhage
Application site pain,C0521491,Venous thrombosis
Dengue Fever,C0011311,Application site pain
Needle issue,C2609190,Dengue fever
Poor peripheral circulation,C0520547,Needle issue
Post procedural complication,C1141930,Poor peripheral circulation
Incorrect drug administration rate,C1536000,Post procedural complication
Adrenal Gland Neoplasms,C0001624,Incorrect drug administration rate
Lung Neoplasms,C0024121,Adrenal neoplasm
"Hypotension, Orthostatic",C0020651,Lung neoplasm
Pleural Neoplasms,C0032229,Orthostatic hypotension
Oral hypoesthesia,C0521592,Pleural neoplasm
Cardiac Flutter,C0016385,Hypoaesthesia oral
Oropharyngeal discomfort,C2363730,Cardiac flutter
Foreign body sensation (finding),C0423602,Oropharyngeal discomfort
Bronchopneumonia,C0006285,Sensation of foreign body
Malignant melanoma in situ,C0854696,Bronchopneumonia
Endometrial Carcinoma,C0476089,Malignant melanoma in situ
Apraxias,C0003635,Endometrial cancer
Wound Infection,C0043241,Apraxia
Breast cancer stage II,C0278486,Wound infection
Spinal Cord Neoplasms,C0037930,Breast cancer stage II
Neonatal disorder,C0021290,Spinal cord neoplasm
Personality disorder of childhood,C0853307,Neonatal disorder
Paralytic Ileus,C0030446,Personality disorder of childhood
Clostridium difficile colitis,C0238106,Ileus paralytic
Malignant Hypertension,C0020540,Clostridium difficile colitis
Diabetes mellitus inadequate control,C0860160,Accelerated hypertension
"Hyperparathyroidism, Primary",C0221002,Diabetes mellitus inadequate control
Cholestasis,C0008370,Hyperparathyroidism primary
Cholangiocarcinoma,C0206698,Bile duct obstruction
Cholangitis,C0008311,Cholangiocarcinoma
Cytomegalovirus Infections,C0010823,Cholangitis
Malnutrition,C0162429,Cytomegalovirus infection
Productive Cough,C0239134,Malnutrition
Anterior chamber inflammation,C1096278,Productive cough
Posterior segment of eye anomaly,C1112444,Anterior chamber inflammation
Acute myocardial infarction,C0155626,Posterior segment of eye anomaly
Gastric Dilatation,C0038353,Acute myocardial infarction
Non-cardiac chest pain,C0476281,Gastric dilatation
Staphylococcal Skin Infections,C0038166,Non-cardiac chest pain
Exostoses,C1442903,Staphylococcal skin infection
Injection site papule,C1739366,Exostosis
Tarsal Tunnel Syndrome,C0039319,Injection site papule
c-ANCA positive,C0238874,Tarsal tunnel syndrome
Autoimmune hepatitis,C4721555,Antineutrophil cytoplasmic antibody positive
Hepatomegaly,C0019209,Autoimmune hepatitis
Injury of liver,C0160390,Hepatomegaly
Epilepsy,C0014544,Liver injury
Malignant neoplasm progression,C0948048,Epilepsy
Facial edema,C0542571,Malignant neoplasm progression
Body weight problem,C0578026,Face oedema
"Nephritis, Tubulointerstitial",C0041349,Weight abnormal
Sensorimotor neuropathy,C1112256,Tubulointerstitial nephritis
Hepatitis C,C0019196,Peripheral sensorimotor neuropathy
Liver carcinoma,C2239176,Hepatitis C
Splenomegaly,C0038002,Hepatocellular carcinoma
No adverse event,C1963761,Splenomegaly
Limb operation,C0920086,No adverse event
Limb reconstructive surgery,C2609271,Limb operation
Erectile dysfunction,C0242350,Limb reconstructive surgery
Pancreatic Neoplasm,C0030297,Erectile dysfunction
Aspiration Pneumonia,C0032290,Pancreatic neoplasm
Perforation of nasal septum,C0235761,Pneumonia aspiration
Malignant neoplasm of kidney,C0740457,Nasal septum perforation
Candiduria,C0403723,Renal cancer
Cardiac Tamponade,C0007177,Candiduria
Fungemia,C0085082,Cardiac tamponade
Pulmonary thrombosis,C0151946,Fungaemia
Systemic candidiasis,C0153252,Pulmonary thrombosis
Accidental exposure to product,C3544060,Systemic candida
Photoinduced acute generalised exanthematous pustulosis,C2938861,Accidental exposure to product
Sudden death,C0011071,Acute generalised exanthematous pustulosis
Meningioma,C0025286,Sudden death
Hemodialysis,C0019004,Meningioma
Hypothermia due to exposure,C0413252,Haemodialysis
Respiratory distress,C0476273,Hypothermia
Ultrafiltration failure,C2721670,Respiratory distress
Erosion of bone,C0587240,Ultrafiltration failure
Device component issue,C2747892,Bone erosion
Compression injury of nerve,C0273482,Device component issue
Eyelid exfoliation,C1609496,Nerve compression
Tongue swelling,C0236068,Eyelid exfoliation
Tongue Diseases,C0040409,Swollen tongue
hypertensive nephropathy,C0848548,Tongue disorder
Culture urine positive,C0241582,Hypertensive nephropathy
Hepatitis,C0019158,Culture urine positive
Thrombosis of jugular vein,C0852958,Hepatitis
Slow respiration,C0231837,Jugular vein thrombosis
Blood potassium abnormal,C0853759,Respiratory rate decreased
Bicytopenia,C1142446,Blood potassium abnormal
Excessive tearing,C0152227,Bicytopenia
Increased frequency of micturition,C0042023,Lacrimation increased
Drug administered to patient of inappropriate age,C3160855,Pollakiuria
Reaction to drug excipients,C0853040,Drug administered to patient of inappropriate age
Constriction in throat,C0236071,Reaction to drug excipients
"Pleural Effusion, Malignant",C0080032,Throat tightness
Thirst,C0039971,Malignant pleural effusion
Chapping of lips,C0424489,Thirst
Prolonged labor,C0152154,Chapped lips
Mental handicap,C1306341,Prolonged labour
Pulmonary arterial pressure increased,C0852853,Mental impairment
Heart valve disease,C0018824,Pulmonary arterial pressure increased
Metastatic Renal Cell Carcinoma,C4721698,Cardiac valve disease
Periorbital edema,C0151205,Metastatic renal cell carcinoma
Temperature intolerance,C1112320,Periorbital oedema
Myasthenia Gravis,C0026896,Temperature intolerance
Abnormal posture,C0231471,Myasthenia gravis
Psychotic Disorders,C0033975,Posture abnormal
White matter lesion,C2752009,Psychotic disorder
Blood glucose fluctuation,C0877314,White matter lesion
Typhlitis,C0267537,Blood glucose fluctuation
Clostridium test positive,C2748017,Caecitis
Genitourinary tract gonococcal infection,C0854337,Clostridium test positive
Anal Fissure,C0016167,Genitourinary tract infection
Rectal pain,C0034886,Anal fissure
Polyneuropathy,C0152025,Proctalgia
Tumour lysis syndrome (SMQ),C3666009,Polyneuropathy
Eosinophilic pneumonia acute,C5235118,Tumour lysis syndrome
Dermatitis Herpetiformis,C0011608,Eosinophilic pneumonia acute
Acute psychosis,C0281774,Dermatitis herpetiformis
Urine sodium abnormal,C0855529,Acute psychosis
Retinal Detachment,C0035305,Urine sodium abnormal
Benign Meningioma,C0281784,Retinal detachment
Dyslalia,C3495145,Meningioma benign
Mantoux: positive,C0032739,Dyslalia
Good neonatal condition at birth,C0578757,Tuberculin test positive
Dry lips (finding),C2703066,Normal newborn
Pallor of skin,C0241137,Lip dry
Toxicoderma,C0521465,Pallor
Anaphylactic shock,C4316895,Toxic skin eruption
Skin tightness,C0241166,Anaphylactic shock
Impetigo,C0021099,Skin tightness
Oxygen saturation abnormal,C0853674,Impetigo
Irritable Mood,C0022107,Oxygen saturation abnormal
Dissociation,C0086168,Irritability
Blood thyroid stimulating hormone decreased,C0853018,Dissociation
Blood thyroid stimulating hormone increased,C0853019,Blood thyroid stimulating hormone decreased
"Anemia, Pernicious",C0002892,Blood thyroid stimulating hormone increased
Glossalgia,C0017672,Pernicious anaemia
No reaction on previous exposure to drug,C0948770,Glossodynia
Ill-defined disorder,C2047937,No reaction on previous exposure to drug
Hypertensive Crisis,C0020546,Ill-defined disorder
Microangiopathic hemolytic anemia,C0221021,Hypertensive crisis
Reaction to colouring,C0853041,Microangiopathic haemolytic anaemia
Reaction to azo-dyes,C0853042,Reaction to colouring
Cholestatic hepatitis,C0149904,Reaction to azo-dyes
Leukocytes in urine (finding),C0555120,Hepatitis cholestatic
Normocytic normochromic anemia,C0271899,Leukocyturia
INR Increased,C0853225,Normochromic normocytic anaemia
Hypocalcemia,C0020598,International normalised ratio increased
Hypoparathyroidism,C0020626,Hypocalcaemia
"Ventricular Dysfunction, Left",C0242698,Hypoparathyroidism
Right Ventricular Dysfunction,C0242707,Left ventricular dysfunction
Subileus,C0919671,Right ventricular dysfunction
Tachyarrhythmia,C0080203,Subileus
Abscess of tongue,C0267038,Tachyarrhythmia
Sexual Dysfunction,C0549622,Tongue abscess
Adenocarcinoma of lung (disorder),C0152013,Sexual dysfunction
Pseudo-Bartter syndrome,C0853277,Lung adenocarcinoma
Blood calcium increased,C5700155,Bartter's syndrome
Lung mass,C0149726,Blood calcium increased
Atrioventricular junctional rhythm,C0232208,Pulmonary mass
Device related sepsis,C2747852,Nodal rhythm
Intestinal resection,C1096244,Device related sepsis
Urinary tract obstruction,C0178879,Intestinal resection
Continuous hemodiafiltration,C0472686,Obstructive uropathy
Escherichia test positive,C2748069,Continuous haemodiafiltration
Night sweats,C0028081,Escherichia test positive
Urinary bladder stone (disorder),C0005683,Night sweats
Respiratory Depression,C0235063,Calculus bladder
"Abdomen, Acute",C0000727,Respiratory depression
Increased systolic arterial pressure,C0277884,Acute abdomen
Muscle hypotonia,C0026827,Blood pressure systolic increased
Gallstone ileus,C0156156,Hypotonia
Infusion site pain,C1096035,Gallstone ileus
Vitreous floaters,C0016242,Infusion site pain
Infection of kidney,C0021313,Vitreous floaters
Feeling despair,C0233488,Kidney infection
Renal transplant rejection,C0238217,Feeling of despair
Labile blood pressure,C0428895,Kidney transplant rejection
"Angioedemas, Hereditary",C0019243,Labile blood pressure
Therapy change,C3665894,Hereditary angioedema
Hypertensive Encephalopathy,C0151620,Therapy change
Bullous pemphigoid,C0030805,Hypertensive encephalopathy
Creation of ileostomy,C0020883,Pemphigoid
Allergic oedema,C0847033,Ileostomy
Drug level below therapeutic,C0853144,Allergic oedema
Drug Tolerance,C0013220,Drug level below therapeutic
Vulvovaginal discomfort,C0520587,Drug tolerance
Vulvovaginal pain,C0520588,Vulvovaginal discomfort
Viral gastroenteritis,C0152517,Vulvovaginal pain
Stricture of artery,C0038449,Gastroenteritis viral
Ectopic Pregnancy,C0032987,Arterial stenosis
"Arthritis, Psoriatic",C0003872,Ectopic pregnancy
Spontaneous abortion,C0000786,Psoriatic arthropathy
Furred tongue,C0009144,Abortion spontaneous
Hemorrhage of tongue,C0877337,Tongue coated
Blood erythropoietin abnormal,C0919743,Tongue haemorrhage
Dependence,C0439857,Blood erythropoietin abnormal
Oral herpes simplex infection,C0341012,Dependence
Mydriasis,C0026961,Oral herpes
"Acidosis, Respiratory",C0001127,Mydriasis
Ataxia,C0004134,Respiratory acidosis
Axonal neuropathy,C0270921,Ataxia
Eye Burns,C0015395,Axonal neuropathy
Thalamic hemorrhage,C0472376,Eye burns
Tenderness of gums,C0239739,Thalamus haemorrhage
Bedridden,C0741453,Gingival pain
Hemorrhage of penis,C0269002,Bedridden
Onycholysis,C0085661,Penile haemorrhage
Bone Marrow Diseases,C0005956,Onycholysis
Peripheral Ischemia,C0235490,Bone marrow disorder
Gastric hemorrhage,C0235325,Peripheral ischaemia
Apparent death,C1963759,Gastric haemorrhage
Cerebral cyst,C0154724,Apparent death
Gastric ulcer with perforation,C0341163,Cerebral cyst
Impatience,C0919568,Gastric ulcer perforation
Myoclonus,C0027066,Impatience
Melena,C0025222,Myoclonus
Liver Dysfunction,C0086565,Melaena
Low density lipoprotein abnormal,C0853611,Hepatic function abnormal
Muscle Fatigue,C0242979,Low density lipoprotein abnormal
"Hallucinations, Visual",C0233763,Muscle fatigue
Atypical pneumonia,C1412002,"Hallucination, visual"
Wrong drug administered,C0549487,Atypical pneumonia
International normalized ratio outside reference range,C0580417,Wrong drug administered
Edema of the tongue,C0151610,International normalised ratio abnormal
Diastolic dysfunction,C0520863,Tongue oedema
Disease recurrence,C0679254,Diastolic dysfunction
Product substitution issue,C2609228,Disease recurrence
Poisoning,C0032343,Product substitution issue
Tuberculosis,C0041296,Poisoning
Product label issue,C2609216,Tuberculosis
Dermatomycoses,C0011630,Product label issue
Anal abscess,C0281778,Fungal skin infection
Concomitant disease aggravated,C0853643,Anal abscess
Paraneoplastic neurological syndrome,C3267031,Concomitant disease aggravated
Pharyngeal dryness,C0235234,Paraneoplastic neurological syndrome
Urinary Retention,C0080274,Dry throat
Edema of esophagus,C1536009,Urinary retention
Unevaluable event,C1262119,Oesophageal oedema
Mediastinal Diseases,C0025061,Unevaluable event
Edema of mouth,C0236065,Mediastinal disorder
Swelling at injection site,C0581289,Oedema mouth
Ovarian Diseases,C0029928,Injection site swelling
Uterine Diseases,C0042131,Ovarian disorder
Febrile infection,C0948233,Uterine disorder
Cranial third nerve paresis,C1442863,Febrile infection
Tonsillitis,C0040425,IIIrd nerve paresis
Abscess of pharynx,C0264292,Tonsillitis
Disease due to Papilloma virus,C0950124,Pharyngeal abscess
Malignant Vaginal Neoplasm,C0042237,Papilloma viral infection
Bladder Neoplasm,C0005695,Vaginal cancer
Suspected drug-induced liver injury,C5780359,Bladder neoplasm
Portal Hypertension,C0020541,Drug-induced liver injury
Menstruation Disturbances,C0025345,Portal hypertension
Fracture of coccyx,C0149860,Menstrual disorder
Frontotemporal dementia,C0338451,Fractured coccyx
Peripheral embolism,C0856049,Frontotemporal dementia
Skin necrosis,C0151799,Peripheral embolism
Cardiomyopathies,C0878544,Skin necrosis
Ventricular Dysfunction,C0242973,Cardiomyopathy
Mammary Neoplasms,C1458155,Ventricular dysfunction
Sensory disorder of eyelid,C0155206,Breast neoplasm
Nasal inflammation,C2718128,Eyelid sensory disorder
Vasodilation disorder,C0595862,Nasal inflammation
Injection site dermatitis,C0521505,Vasodilatation
Skin Wrinkling,C0037301,Injection site rash
Troponin increased,C1141948,Skin wrinkling
Second degree atrioventricular block,C0264906,Troponin increased
Cholestasis,C0008370,Atrioventricular block second degree
Abnormal feces,C0162287,Cholestasis
Therapeutic product ineffective,C1261979,Abnormal faeces
Photopsia,C0085635,Therapeutic product ineffective
Personality Change,C0240735,Photopsia
Amaurosis Fugax,C0149793,Personality change
Drug Dependence,C1510472,Amaurosis fugax
Anuria,C0003460,Drug dependence
prostatitis,C0033581,Anuria
Traumatic fracture,C0877237,Prostatitis
Vascular calcification,C0342649,Traumatic fracture
Death of relative,C0425043,Vascular calcification
Guilt,C0018379,Death of relative
Grief reaction,C0018235,Feeling guilty
Clonus,C0009024,Grief reaction
Hypernatremia,C0020488,Clonus
Protein total decreased,C0860901,Hypernatraemia
Subcutaneous hematoma,C0520532,Protein total decreased
Ischemic stroke,C0948008,Subcutaneous haematoma
Macular Holes,C0024441,Ischaemic stroke
Prosthesis user,C1096093,Macular hole
Rebound effect,C0549262,Prosthesis user
Drug screen positive,C0743295,Rebound effect
Arnold Chiari Malformation,C0003803,Drug screen positive
Premature ventricular contractions,C0151636,Arnold-Chiari malformation
Spinal Fractures,C0080179,Ventricular extrasystoles
Walking aid user,C0919792,Spinal fracture
Infective conjunctivitis,C0497209,Walking aid user
Congenital arteriovenous malformation,C0003857,Conjunctivitis infective
Rupture of muscle,C0149732,Arteriovenous malformation
Tubular breast cancer metastatic,C1328549,Muscle rupture
Psychomotor Impairment,C5441816,Breast cancer metastatic
Brain stem hemorrhage,C0521540,Psychomotor retardation
Metastatic Neoplasm,C2939420,Brain stem haemorrhage
Disorder of tendon,C0151936,Metastatic neoplasm
Rupture of tendon,C0151937,Tendon disorder
Lymphocyte count decreased,C0853986,Tendon rupture
Red blood cell analysis abnormal,C3495708,Lymphocyte count decreased
Liver pain,C0522067,Red blood cell analysis abnormal
Laziness,C0948094,Hepatic pain
Hematoma of abdominal wall,C1963746,Laziness
Arterial Injury,C0340652,Abdominal wall haematoma
Toxic Epidermal Necrolysis,C0014518,Arterial injury
Diaper Rash,C0011974,Toxic epidermal necrolysis
Antiphospholipid antibodies positive,C0877371,Dermatitis diaper
Electrocardiogram QT borderline prolonged,C1963923,Antiphospholipid antibodies positive
Depression suicidal,C0221745,Electrocardiogram QT prolonged
Uterine Prolapse,C0042140,Depression suicidal
Hypocoagulability state,C0235601,Uterine prolapse
Embolic Stroke,C0262469,Hypocoagulable state
Disseminated Intravascular Coagulation,C0012739,Embolic stroke
Breakthrough Pain,C1135120,Disseminated intravascular coagulation
Injection site haematoma,C0542008,Breakthrough pain
Cheilitis,C0007971,Injection site haematoma
Discomfort in mouth,C0399459,Cheilitis
Fecal Incontinence,C0015732,Oral discomfort
Mental disorders,C0004936,Faecal incontinence
Allergy to animal,C4082933,Mental disorder
Calcium Metabolism Disorders,C0006705,Allergy to animal
Skin test positive,C0542213,Calcium metabolism disorder
Sputum discoloured,C0854425,Skin test positive
Upper respiratory tract congestion,C0949070,Sputum discoloured
Hypocupremia,C0268070,Upper respiratory tract congestion
Oral fungal infection,C0877048,Copper deficiency
Injection site warmth,C0858934,Oral fungal infection
Drug action increased,C0151730,Injection site warmth
